"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_source.label"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-17","2016",9.666,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2016",12.272,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2016",5.844,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 15-17","2016",4.217,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-17","2016",8.923,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2016",10.973,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2016",5.891,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 15-17","2016",4.294,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-17","2016",10.434,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2016",13.656,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2016",5.798,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 15-17","2016",4.143,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-17","2017",20.479,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2017",25.946,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2017",18.421,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 15-17","2017",4.04,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-17","2017",21.536,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2017",26.885,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2017",20.722,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 15-17","2017",3.989,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-17","2017",19.44,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2017",25.002,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2017",16.345,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 15-17","2017",4.093,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-17","2018",16.997,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2018",21.485,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2018",11.577,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 15-17","2018",6.91,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-17","2018",17.872,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2018",22.478,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2018",11.173,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 15-17","2018",8.881,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-17","2018",16.135,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2018",20.502,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2018",11.958,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 15-17","2018",4.911,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2010",33.891,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2010",38.524,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2010",38.673,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2010",44.207,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2010",28.748,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2010",33.121,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2010",23.187,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2010",19.204,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2010",23.015,,"Repository: ILO-STATISTICS - Micro data processing"
