ref_area.label;source.label;indicator.label;sex.label;classif1.label;classif2.label;time;obs_value;obs_status.label;note_classif.label;note_indicator.label;note_source.label;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Total;Disability status (Aggregate): Total;Currency: Local currency;2022;84524.927;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Total;Disability status (Aggregate): Total;Currency: 2021 PPP $;2022;411.27;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Total;Disability status (Aggregate): Total;Currency: U.S. dollars;2022;135.693;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Total;Disability status (Aggregate): Persons with disability;Currency: Local currency;2022;76383.582;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Total;Disability status (Aggregate): Persons with disability;Currency: 2021 PPP $;2022;371.657;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Total;Disability status (Aggregate): Persons with disability;Currency: U.S. dollars;2022;122.623;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Total;Disability status (Aggregate): Persons without disability;Currency: Local currency;2022;84645.5;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Total;Disability status (Aggregate): Persons without disability;Currency: 2021 PPP $;2022;411.856;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Total;Disability status (Aggregate): Persons without disability;Currency: U.S. dollars;2022;135.887;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Male;Disability status (Aggregate): Total;Currency: Local currency;2022;95885.987;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Male;Disability status (Aggregate): Total;Currency: 2021 PPP $;2022;466.549;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
Benin;HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions;Average monthly earnings of employees by sex and disability status;Sex: Male;Disability status (Aggregate): Total;Currency: U.S. dollars;2022;153.932;;;Currency: BEN - West African CFA franc (XOF);Repository: ILO-STATISTICS - Micro data processing;
