"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value"
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2023",30.747
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2022",30.141
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2021",30.21
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2020",29.605
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2019",27.934
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2019",34.134
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2019",26.349
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2019",25.687
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2019",35.158
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2019",23.367
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2019",30.194
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2019",33.172
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2019",29.4
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2018",26.191
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2018",32.274
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2018",24.656
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2018",24.128
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2018",33.296
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2018",21.904
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2018",28.28
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2018",31.303
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2018",27.486
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2017",23.183
"Angola","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2017",29.022
